Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Share_NA,Share_EU,Share_JP,decade_cohort
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,82.74000000000001,0.5014503263234228,0.3507372492144065,0.04556441866086536,2000
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,40.24,0.7226640159045725,0.0889662027833002,0.169234592445328,1980
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,35.830000000000005,0.44236673178900354,0.35947530002790956,0.1057772816075914,2000
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,33.0,0.4772727272727273,0.3336363636363636,0.09939393939393938,2000
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,31.380000000000003,0.3591459528362014,0.2833014659018483,0.325685149776928,1990
6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,30.259999999999998,0.7666886979510906,0.07468605419695969,0.1394580304031725,1980
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,30.009999999999998,0.3792069310229924,0.30756414528490506,0.21659446851049652,2000
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,29.009999999999998,0.4836263357462944,0.31713202344019303,0.10099965529127888,2000
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,28.61,0.5099615519049283,0.24676686473261097,0.16427822439706397,2000
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,28.31,0.9512539738608266,0.022253620628753093,0.009890498057223597,1980
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,24.75,0.3664646464646465,0.4444444444444444,0.07797979797979798,2000
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,23.43,0.4186939820742638,0.3230900554844217,0.17626973965002135,2000
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,23.09,0.389779125162408,0.2676483326115201,0.3118233001299264,1990
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,22.72,0.39348591549295775,0.3534330985915493,0.15845070422535212,2000
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,22.0,0.41318181818181815,0.39045454545454544,0.11499999999999999,2000
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,21.82,0.6860678276810266,0.22639780018331807,0.010999083409715857,2010
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,21.39,0.3277232351566152,0.4333800841514726,0.04534829359513791,2010
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,20.810000000000002,0.4531475252282556,0.01922152811148486,0.01970206631427198,2000
19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,20.62,0.6197866149369543,0.18186226964112512,0.1716779825412221,1990
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,20.220000000000002,0.23491592482690402,0.45796241345202765,0.20573689416419386,2000
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,18.35,0.3498637602179836,0.24632152588555853,0.3291553133514986,2000
22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,18.14,0.5970231532524807,0.149393605292172,0.23042998897464165,1980
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,17.28,0.5520833333333333,0.19907407407407407,0.2222222222222222,1980
24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,16.380000000000003,0.5879120879120878,0.3241758241758241,0.003663003663003662,2010
25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,16.150000000000002,0.5207430340557275,0.339938080495356,0.029102167182662533,2000
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,15.84,0.38257575757575757,0.24621212121212122,0.33964646464646464,2000
